InvoiceNo,Fournisseur
538108,F245
C538109,F164
C538110,F389
C538111,F734
C538112,F454
538113,F503
C538114,F312
C538115,F234
538116,F240
538117,F784
C538118,F445
C538119,F851
538120,F787
C538121,F871
C538122,F392
C538123,F569
C538124,F749
538125,F796
538126,F569
538127,F774
538128,F270
538129,F938
538130,F625
538131,F307
538132,F711
538133,F973
538134,F387
538135,F312
538136,F360
538137,F699
538138,F387
538139,F730
538140,F131
538141,F107
538142,F363
538143,F227
538144,F199
538145,F140
538146,F639
538147,F379
538148,F991
538149,F807
538151,F448
538153,F802
538154,F389
538155,F980
538156,F517
538157,F234
538158,F376
538159,F492
538160,F520
538161,F370
538162,F223
538163,F273
C538164,F629
538165,F709
538166,F230
538167,F396
538168,F890
538169,F906
538170,F654
538171,F128
538172,F974
538173,F193
538174,F207
538175,F779
538176,F438
538177,F450
538178,F630
538179,F453
538180,F130
538181,F379
538182,F704
538183,F927
538184,F847
538185,F974
538186,F687
538187,F277
538188,F131
C538189,F726
538190,F234
538191,F536
538192,F245
538193,F662
538194,F860
538195,F812
538196,F985
538197,F431
538198,F511
538199,F172
538200,F627
538201,F172
538202,F429
538203,F264
538204,F462
538205,F537
538206,F173
538207,F913
538208,F702
538209,F510
538210,F706
538211,F373
538216,F141
538240,F901
538241,F131
538247,F419
538248,F542
538249,F669
538250,F321
538252,F754
538255,F662
538260,F779
538263,F127
538268,F769
538279,F257
538280,F253
538283,F707
538288,F212
538296,F289
538306,F551
538307,F907
538308,F584
538309,F925
538310,F189
538311,F879
538312,F978
538313,F853
C538314,F632
538327,F327
C538341,F473
538342,F283
538343,F349
C538344,F874
538345,F351
538346,F308
538347,F873
538348,F139
538349,F142
C538350,F328
538351,F389
538352,F326
538353,F557
538354,F246
538355,F458
538356,F295
C538357,F813
538358,F618
538359,F892
538360,F519
538361,F225
C538362,F844
538363,F490
538364,F266
538365,F438
538366,F312
538367,F514
538368,F431
538369,F359
538370,F169
538371,F933
C538372,F793
C538373,F237
538374,F213
C538375,F414
C538376,F767
C538377,F289
538378,F705
538379,F494
538382,F404
538397,F699
538403,F226
538409,F457
538417,F302
538418,F783
538419,F698
538420,F832
538421,F920
538437,F134
538449,F133
538453,F205
C538463,F427
538470,F518
538473,F314
538488,F881
538497,F887
538499,F245
538501,F145
C538500,F297
538503,F698
538504,F955
538507,F899
538508,F411
538509,F249
538510,F516
538511,F762
538512,F964
538513,F944
538514,F778
538515,F144
538516,F234
538517,F613
538518,F530
538519,F289
538520,F116
538521,F243
538522,F443
538523,F990
538524,F763
538525,F793
538526,F197
538527,F805
538528,F729
538529,F658
C538530,F141
538532,F261
538533,F264
C538531,F160
538534,F329
538535,F847
C538536,F692
538537,F437
538541,F681
538557,F378
538558,F437
538565,F696
538566,F273
538567,F669
538576,F669
538591,F979
538592,F349
538593,F888
538594,F362
C538595,F649
538596,F285
538597,F754
538625,F620
538626,F131
538627,F556
C538628,F911
538629,F234
538630,F452
538631,F899
538633,F581
538634,F274
C538632,F784
538635,F311
538636,F887
538637,F113
538638,F703
538639,F337
538640,F374
538641,F221
C538642,F546
C538643,F298
538644,F717
538645,F916
538646,F620
538648,F232
C538647,F800
538649,F236
C538650,F187
538651,F871
538652,F788
538653,F380
538654,F876
538655,F251
538656,F787
538657,F302
538658,F508
538659,F482
538660,F962
538661,F215
538662,F618
538663,F871
538664,F311
538665,F497
538666,F510
538667,F235
538668,F121
538669,F936
C538670,F212
538671,F658
538678,F905
538679,F474
C538680,F336
C538681,F301
C538682,F148
538683,F327
C538684,F567
538685,F881
C538686,F600
538687,F478
538688,F436
538689,F366
C538690,F897
C538691,F437
C538692,F200
C538693,F554
C538694,F156
C538695,F226
C538696,F237
538697,F490
C538698,F361
C538699,F631
C538700,F319
C538701,F589
C538702,F546
C538703,F336
C538704,F767
C538705,F700
538706,F614
538707,F710
538708,F951
538709,F534
538710,F841
C538711,F788
C538712,F629
C538713,F907
538714,F988
538715,F629
538716,F744
C538717,F703
538719,F869
C538718,F391
538721,F707
C538720,F292
538722,F193
538724,F609
C538723,F871
C538725,F268
C538726,F394
C538734,F380
538744,F309
C538742,F563
C538745,F341
C538749,F692
538753,F882
C538755,F118
C538763,F585
C538768,F620
C538771,F222
538778,F918
538783,F907
538785,F220
C538794,F357
538795,F312
538796,F969
538797,F560
C538798,F311
538799,F902
538800,F397
538801,F684
C538802,F281
C538803,F439
C538804,F709
C538805,F939
C538806,F612
538807,F977
538808,F855
538809,F384
538810,F668
538811,F732
538812,F587
C538813,F996
538814,F121
538815,F665
538816,F155
538817,F770
538826,F496
538827,F418
538828,F620
538829,F789
538830,F188
538831,F470
538832,F224
C538833,F440
C538834,F931
538836,F829
538837,F266
538839,F767
538841,F503
538843,F895
538844,F825
538845,F705
538846,F138
C538847,F863
538848,F447
538849,F313
538850,F723
538851,F356
538852,F249
538853,F955
538854,F235
538855,F125
538856,F790
538857,F796
538858,F541
538859,F408
538860,F906
538861,F209
538862,F721
538863,F889
538864,F989
538865,F415
538866,F834
538867,F773
538868,F156
538869,F657
538870,F288
538871,F133
538872,F910
538873,F109
C538874,F663
538875,F781
C538876,F652
538877,F384
538878,F224
538879,F302
538880,F486
538881,F818
538883,F414
538884,F337
C538882,F227
538885,F763
538886,F340
C538887,F359
538888,F224
C538889,F289
538890,F206
C538891,F884
538892,F389
538894,F397
538895,F876
538896,F494
C538897,F863
C538898,F543
538899,F206
538900,F874
538901,F522
538902,F166
538903,F212
C538904,F831
538905,F977
538906,F979
538907,F644
538908,F337
538909,F418
538910,F966
538917,F600
538935,F796
538942,F927
538943,F197
538944,F292
538945,F425
538951,F807
538967,F161
538968,F378
C538971,F497
538991,F932
538992,F230
538993,F139
538994,F657
538995,F455
538996,F370
C538997,F413
538998,F940
538999,F933
539000,F684
539001,F237
539002,F220
C539003,F440
539004,F216
539005,F229
539006,F669
539007,F616
539008,F273
539009,F823
539010,F536
539011,F622
539012,F214
539013,F264
539014,F526
539015,F781
539016,F629
539017,F129
539018,F914
539019,F644
539030,F270
539032,F745
C539031,F613
539033,F874
539034,F763
C539035,F114
539036,F511
C539037,F458
539038,F339
539039,F304
539040,F720
539041,F251
539042,F913
539043,F722
539044,F774
539045,F660
539046,F149
539047,F679
539048,F491
539049,F672
539050,F633
539051,F377
539052,F775
539053,F886
C539054,F710
C539055,F608
539056,F698
C539057,F516
C539058,F288
C539059,F763
539064,F424
C539063,F656
C539065,F826
C539066,F630
C539067,F667
C539068,F696
C539069,F325
539070,F424
C539071,F289
C539072,F614
C539073,F482
539074,F732
539075,F134
539076,F777
539077,F217
539078,F252
539079,F362
539080,F800
539081,F447
539082,F977
539083,F519
539084,F687
539085,F668
539086,F889
539087,F777
539088,F559
539089,F360
C539090,F672
539091,F968
539092,F120
539093,F817
539094,F186
539095,F864
539096,F667
539098,F556
C539097,F208
539099,F522
C539100,F600
539101,F697
539102,F457
539103,F213
C539104,F667
539105,F921
539106,F683
539107,F985
539108,F591
539109,F705
C539110,F117
539111,F159
539112,F137
539113,F803
C539114,F872
539118,F878
539142,F377
539143,F203
539144,F833
539160,F554
539181,F264
539185,F446
C539191,F620
C539195,F285
539196,F139
539201,F620
539211,F581
539212,F604
539213,F209
539214,F327
539215,F625
539216,F955
539217,F216
539218,F302
539219,F649
539220,F566
C539221,F707
539222,F587
539223,F937
C539224,F966
539225,F133
539226,F873
539240,F929
539242,F462
539243,F958
C539244,F332
539245,F608
539246,F240
539247,F577
539248,F495
539249,F534
539250,F462
C539251,F144
539252,F696
C539253,F255
539254,F363
539255,F961
539256,F370
539257,F865
C539258,F977
539259,F534
C539260,F582
539261,F756
539262,F158
539263,F235
539264,F453
539265,F288
539266,F612
539267,F704
539268,F197
539269,F203
C539270,F443
C539271,F304
539272,F102
C539273,F936
C539274,F552
539275,F866
C539276,F820
C539277,F130
C539278,F878
539280,F514
C539279,F878
539281,F957
539282,F269
539283,F371
C539284,F361
539285,F421
539286,F965
C539287,F243
539288,F447
C539289,F490
539290,F726
539292,F149
539293,F589
C539291,F581
539294,F454
539295,F150
539296,F713
539297,F144
539298,F404
539299,F142
539300,F390
C539301,F327
C539302,F370
539303,F649
539304,F989
539305,F918
539306,F929
539307,F722
539308,F516
539309,F305
539310,F440
539311,F140
539312,F227
539313,F915
539314,F397
539315,F910
539316,F359
539317,F184
539318,F813
539319,F667
539320,F266
539321,F462
539322,F835
539323,F580
539324,F826
539325,F937
539326,F741
539327,F387
539328,F878
C539329,F575
539330,F675
539331,F666
539332,F129
539333,F261
539334,F534
539335,F684
539336,F140
539337,F180
539338,F624
539351,F665
539353,F606
539374,F213
539379,F652
539391,F106
539395,F808
539398,F541
539400,F633
539401,F134
C539402,F564
539403,F939
539404,F578
539405,F891
539406,F198
539407,F726
539408,F642
C539409,F593
539410,F408
539411,F325
539412,F931
539413,F831
539414,F711
539415,F676
539416,F210
539417,F434
539418,F475
539419,F769
539420,F220
539421,F106
539422,F823
539423,F354
539434,F705
539435,F889
539436,F887
539437,F618
C539438,F116
539439,F486
539440,F396
539441,F552
539442,F989
539443,F149
539444,F861
539445,F474
539446,F493
539447,F998
C539448,F131
539449,F145
539450,F448
539451,F706
539452,F916
539453,F513
539454,F468
539455,F487
539456,F247
539457,F620
539458,F389
539459,F736
539460,F988
539461,F369
539462,F371
539463,F755
539464,F314
539465,F499
539466,F100
C539467,F433
539468,F360
539469,F211
539470,F846
539471,F425
539472,F790
539473,F328
539474,F763
539475,F719
C539476,F612
539477,F131
539478,F262
539479,F850
539480,F512
539481,F631
539482,F258
539483,F130
539484,F871
539485,F279
C539486,F542
539487,F904
539488,F864
539489,F360
539490,F662
539491,F526
539492,F174
539493,F336
539494,F317
539495,F303
539496,F551
539497,F203
539498,F343
C539499,F145
539500,F241
539501,F578
539502,F185
539551,F192
539561,F978
539564,F705
C539565,F666
C539566,F818
539567,F285
C539568,F629
C539569,F590
539570,F102
539571,F722
539572,F872
C539573,F106
C539574,F577
C539575,F822
C539576,F498
C539577,F275
539578,F295
539579,F545
539580,F578
539581,F305
539582,F295
539583,F488
539584,F853
539585,F726
539586,F895
539587,F957
539588,F543
C539589,F361
539590,F952
539591,F588
539592,F755
539593,F913
539594,F136
539595,F966
C539596,F477
539597,F955
C539598,F623
C539599,F868
C539600,F977
C539601,F972
C539602,F544
C539603,F509
539604,F139
C539605,F981
C539606,F114
539607,F571
C539608,F965
539609,F267
539610,F216
539611,F925
539628,F282
539629,F889
539630,F676
539631,F897
C539632,F931
539633,F703
539634,F905
539635,F497
539636,F353
539637,F736
539638,F211
539639,F211
C539640,F175
539641,F910
539642,F329
539643,F642
C539644,F765
539645,F917
539646,F337
539647,F834
539648,F714
539649,F846
539650,F599
539651,F713
539653,F104
539654,F686
C539655,F753
539656,F240
C539657,F630
539658,F865
539659,F438
539660,F481
C539661,F964
539662,F217
539663,F457
539664,F610
539665,F379
539666,F722
C539667,F285
539675,F442
539676,F991
539688,F279
C539707,F362
539708,F204
C539709,F373
C539710,F782
C539711,F718
C539712,F370
539713,F248
539714,F483
539715,F605
539716,F580
539717,F337
539718,F265
C539719,F692
539720,F953
539721,F809
539722,F538
539723,F414
539724,F666
539725,F652
C539726,F696
539727,F318
539728,F874
539729,F842
539730,F239
539731,F943
539732,F268
539733,F519
539734,F159
539735,F288
539736,F632
539737,F395
539738,F249
539739,F656
539740,F408
539741,F517
539742,F786
539743,F917
539744,F563
539745,F692
539746,F206
539747,F496
539748,F948
539749,F141
539750,F346
539751,F978
539752,F763
539753,F343
539754,F950
539755,F847
C539756,F251
539758,F575
539759,F576
539760,F582
539761,F376
539762,F697
539764,F935
539766,F227
539825,F266
539826,F391
C539827,F426
539828,F985
539829,F290
C539830,F316
539831,F767
C539832,F720
539835,F670
539836,F605
539837,F706
C539838,F927
539839,F887
539840,F380
539856,F357
C539857,F380
539858,F722
539859,F508
539864,F882
539865,F910
C539866,F940
539867,F799
539920,F575
539921,F635
539933,F723
C539943,F240
C539944,F267
C539945,F872
539946,F188
C539947,F593
C539948,F962
C539949,F374
C539950,F518
539951,F957
539952,F476
539953,F971
539954,F458
539955,F711
C539956,F354
539957,F616
539958,F577
539978,F456
539979,F172
539980,F139
539981,F384
539982,F968
C539983,F395
539984,F582
539985,F472
539986,F878
539987,F222
539988,F116
539989,F450
539990,F933
539991,F814
539992,F294
539993,F521
539994,F589
539995,F242
539996,F903
539997,F945
539998,F156
539999,F639
540000,F115
540001,F646
540002,F387
540003,F754
540004,F120
540005,F943
C540006,F897
C540007,F224
540008,F653
540009,F767
540010,F702
540011,F513
540012,F904
540013,F319
540014,F887
540015,F773
540016,F953
540017,F527
540018,F437
540019,F580
540020,F502
540021,F856
540022,F470
540023,F119
540024,F387
540025,F650
540026,F480
540027,F254
540028,F702
540029,F251
C540030,F501
540031,F805
540032,F887
540033,F612
540040,F910
540043,F710
C540057,F424
540059,F414
540060,F897
540073,F380
540093,F302
540094,F496
540095,F869
540096,F426
C540097,F755
540098,F620
540099,F136
540100,F287
C540109,F206
C540112,F497
540113,F302
540114,F914
540115,F350
540116,F335
C540117,F269
C540118,F991
540119,F500
540120,F431
540121,F346
540122,F202
540126,F618
540130,F317
C540129,F464
C540142,F411
540146,F261
540148,F855
540149,F413
540150,F131
C540151,F646
C540152,F438
540153,F776
540154,F245
C540155,F273
C540156,F378
540157,F910
C540158,F944
540159,F817
540160,F721
540161,F642
540162,F267
540163,F255
C540164,F176
C540165,F239
540166,F815
540167,F867
540168,F863
540169,F145
540170,F311
C540171,F287
540172,F625
540173,F575
540174,F636
540175,F685
540176,F251
540178,F390
C540177,F200
540179,F730
540180,F544
540181,F255
540182,F831
540183,F342
540184,F272
540185,F723
540186,F259
540187,F611
540188,F513
540227,F682
540238,F461
540239,F606
540240,F419
540241,F267
540242,F397
C540243,F301
C540244,F756
540245,F316
C540246,F149
540247,F463
540248,F488
540249,F657
C540250,F774
540251,F763
540252,F243
540253,F516
540255,F637
540256,F981
540257,F575
540258,F972
540259,F439
540260,F962
540261,F584
540262,F337
540263,F340
540264,F393
540265,F443
C540266,F110
540267,F792
540268,F553
540269,F947
C540270,F195
C540271,F649
540272,F422
540273,F688
540274,F987
540275,F161
540276,F425
540277,F612
540278,F633
540279,F149
540280,F878
540288,F194
C540307,F141
540316,F392
540345,F465
C540346,F575
540348,F897
C540347,F454
540349,F473
540350,F268
540351,F438
540352,F707
540353,F127
540354,F898
540355,F963
540356,F311
540357,F767
540358,F654
540359,F261
C540360,F669
540361,F692
540362,F957
540363,F691
540364,F847
540365,F248
C540366,F652
C540367,F730
540369,F435
540370,F734
540371,F357
540372,F818
540373,F330
540374,F819
540375,F955
C540376,F399
C540377,F620
C540378,F627
C540379,F439
C540380,F475
C540381,F909
C540382,F546
540383,F342
C540384,F833
C540385,F243
C540386,F987
540387,F742
C540388,F229
C540389,F608
C540390,F464
C540391,F797
C540392,F419
C540393,F273
C540394,F139
540395,F953
540396,F918
540397,F944
C540398,F273
540399,F661
C540400,F158
540401,F951
540402,F933
C540403,F339
540404,F488
540405,F419
540406,F748
540407,F240
540408,F639
540409,F294
540410,F174
540411,F683
540412,F200
540413,F865
540414,F341
540415,F352
540416,F141
C540417,F845
540418,F130
540420,F771
540452,F738
540453,F559
540454,F270
540455,F575
540456,F877
540457,F632
540458,F796
